DATE,TOTAL,TIME,MEAN,SO2 TIME,MEAN,Location
2018-01-01 00:00:00,13,2018-01-01 00:00:00,1.5795572e-07,2018-01-01 00:00:00,1.26813782e-09,"GEN.HOSPITAL, ILE-OLUJI"
2018-02-01 00:00:00,8,2018-02-01 00:00:00,8.01838552e-08,2018-02-01 00:00:00,5.58407209e-10,"GEN.HOSPITAL, ILE-OLUJI"
2018-03-01 00:00:00,19,2018-03-01 00:00:00,4.79184784e-08,2018-03-01 00:00:00,4.05516315e-10,"GEN.HOSPITAL, ILE-OLUJI"
2018-04-01 00:00:00,11,2018-04-01 00:00:00,5.26643829e-08,2018-04-01 00:00:00,2.68483902e-10,"GEN.HOSPITAL, ILE-OLUJI"
2018-05-01 00:00:00,6,2018-05-01 00:00:00,2.58259401e-08,2018-05-01 00:00:00,2.63939981e-10,"GEN.HOSPITAL, ILE-OLUJI"
2018-06-01 00:00:00,14,2018-06-01 00:00:00,1.89477434e-08,2018-06-01 00:00:00,2.59548216e-10,"GEN.HOSPITAL, ILE-OLUJI"
2018-07-01 00:00:00,13,2018-07-01 00:00:00,1.34416454e-08,2018-07-01 00:00:00,2.21887231e-10,"GEN.HOSPITAL, ILE-OLUJI"
2018-08-01 00:00:00,12,2018-08-01 00:00:00,9.22291003e-09,2018-08-01 00:00:00,1.75886847e-10,"GEN.HOSPITAL, ILE-OLUJI"
2018-09-01 00:00:00,13,2018-09-01 00:00:00,1.31425144e-08,2018-09-01 00:00:00,2.00981259e-10,"GEN.HOSPITAL, ILE-OLUJI"
2018-10-01 00:00:00,4,2018-10-01 00:00:00,2.32145893e-08,2018-10-01 00:00:00,3.34460265e-10,"GEN.HOSPITAL, ILE-OLUJI"
2018-11-01 00:00:00,22,2018-11-01 00:00:00,4.21994032e-08,2018-11-01 00:00:00,6.48150422e-10,"GEN.HOSPITAL, ILE-OLUJI"
2018-12-01 00:00:00,13,2018-12-01 00:00:00,1.30419748e-07,2018-12-01 00:00:00,1.05250153e-09,"GEN.HOSPITAL, ILE-OLUJI"
2019-01-01 00:00:00,0,2019-01-01 00:00:00,8.64288359e-08,2019-01-01 00:00:00,7.36878336e-10,"GEN.HOSPITAL, ILE-OLUJI"
2019-02-01 00:00:00,0,2019-02-01 00:00:00,1.00151219e-07,2019-02-01 00:00:00,8.75297446e-10,"GEN.HOSPITAL, ILE-OLUJI"
2019-03-01 00:00:00,0,2019-03-01 00:00:00,5.55220341e-08,2019-03-01 00:00:00,4.86412133e-10,"GEN.HOSPITAL, ILE-OLUJI"
2019-04-01 00:00:00,0,2019-04-01 00:00:00,4.01977315e-08,2019-04-01 00:00:00,3.25835248e-10,"GEN.HOSPITAL, ILE-OLUJI"
2019-05-01 00:00:00,0,2019-05-01 00:00:00,2.47205198e-08,2019-05-01 00:00:00,2.85915513e-10,"GEN.HOSPITAL, ILE-OLUJI"
2019-06-01 00:00:00,0,2019-06-01 00:00:00,1.55974991e-08,2019-06-01 00:00:00,2.3181719e-10,"GEN.HOSPITAL, ILE-OLUJI"
2019-07-01 00:00:00,0,2019-07-01 00:00:00,1.27469385e-08,2019-07-01 00:00:00,2.08734988e-10,"GEN.HOSPITAL, ILE-OLUJI"
2019-08-01 00:00:00,0,2019-08-01 00:00:00,9.16365668e-09,2019-08-01 00:00:00,1.67505371e-10,"GEN.HOSPITAL, ILE-OLUJI"
2019-09-01 00:00:00,0,2019-09-01 00:00:00,1.64477285e-08,2019-09-01 00:00:00,2.31355324e-10,"GEN.HOSPITAL, ILE-OLUJI"
2019-10-01 00:00:00,0,2019-10-01 00:00:00,1.70632501e-08,2019-10-01 00:00:00,2.52839388e-10,"GEN.HOSPITAL, ILE-OLUJI"
2019-11-01 00:00:00,0,2019-11-01 00:00:00,3.55451525e-08,2019-11-01 00:00:00,4.77794082e-10,"GEN.HOSPITAL, ILE-OLUJI"
2019-12-01 00:00:00,0,2019-12-01 00:00:00,6.82761899e-08,2019-12-01 00:00:00,8.70897521e-10,"GEN.HOSPITAL, ILE-OLUJI"
2020-01-01 00:00:00,0,2020-01-01 00:00:00,1.6993707799999999e-07,2020-01-01 00:00:00,1.48691748e-09,"GEN.HOSPITAL, ILE-OLUJI"
