DATE,TOTAL,TIME,MEAN,SO2 TIME,MEAN,Location
2018-01-01 00:00:00,36,2018-01-01 00:00:00,1.62e-07,2018-01-01 00:00:00,1.19269417e-09,EKSUTH
2018-02-01 00:00:00,36,2018-02-01 00:00:00,8.26e-08,2018-02-01 00:00:00,5.77518255e-10,EKSUTH
2018-03-01 00:00:00,30,2018-03-01 00:00:00,5.15e-08,2018-03-01 00:00:00,4.20163349e-10,EKSUTH
2018-04-01 00:00:00,19,2018-04-01 00:00:00,5.45e-08,2018-04-01 00:00:00,3.10734327e-10,EKSUTH
2018-05-01 00:00:00,2,2018-05-01 00:00:00,2.79e-08,2018-05-01 00:00:00,3.16420529e-10,EKSUTH
2018-06-01 00:00:00,2,2018-06-01 00:00:00,2.07e-08,2018-06-01 00:00:00,3.01960845e-10,EKSUTH
2018-07-01 00:00:00,2,2018-07-01 00:00:00,1.44e-08,2018-07-01 00:00:00,2.50263005e-10,EKSUTH
2018-08-01 00:00:00,2,2018-08-01 00:00:00,1.01e-08,2018-08-01 00:00:00,2.08433173e-10,EKSUTH
2018-09-01 00:00:00,1,2018-09-01 00:00:00,1.49e-08,2018-09-01 00:00:00,2.47489668e-10,EKSUTH
2018-10-01 00:00:00,2,2018-10-01 00:00:00,2.66e-08,2018-10-01 00:00:00,3.74728554e-10,EKSUTH
2018-11-01 00:00:00,9,2018-11-01 00:00:00,4.22e-08,2018-11-01 00:00:00,7.25815463e-10,EKSUTH
2018-12-01 00:00:00,37,2018-12-01 00:00:00,1.35e-07,2018-12-01 00:00:00,1.06785947e-09,EKSUTH
2019-01-01 00:00:00,19,2019-01-01 00:00:00,8.8e-08,2019-01-01 00:00:00,8.00668698e-10,EKSUTH
2019-02-01 00:00:00,21,2019-02-01 00:00:00,1.02e-07,2019-02-01 00:00:00,8.5839591e-10,EKSUTH
2019-03-01 00:00:00,5,2019-03-01 00:00:00,5.56e-08,2019-03-01 00:00:00,5.37800249e-10,EKSUTH
2019-04-01 00:00:00,5,2019-04-01 00:00:00,4.36e-08,2019-04-01 00:00:00,3.81634141e-10,EKSUTH
2019-05-01 00:00:00,1,2019-05-01 00:00:00,2.54e-08,2019-05-01 00:00:00,3.37005812e-10,EKSUTH
2019-06-01 00:00:00,1,2019-06-01 00:00:00,1.61e-08,2019-06-01 00:00:00,2.61851457e-10,EKSUTH
2019-07-01 00:00:00,4,2019-07-01 00:00:00,1.31e-08,2019-07-01 00:00:00,2.41488635e-10,EKSUTH
2019-08-01 00:00:00,0,2019-08-01 00:00:00,9.57e-09,2019-08-01 00:00:00,2.16154011e-10,EKSUTH
2019-09-01 00:00:00,5,2019-09-01 00:00:00,1.87e-08,2019-09-01 00:00:00,2.69660849e-10,EKSUTH
2019-10-01 00:00:00,8,2019-10-01 00:00:00,1.85e-08,2019-10-01 00:00:00,2.63720878e-10,EKSUTH
2019-11-01 00:00:00,18,2019-11-01 00:00:00,3.4e-08,2019-11-01 00:00:00,6.38884612e-10,EKSUTH
2019-12-01 00:00:00,28,2019-12-01 00:00:00,6.56e-08,2019-12-01 00:00:00,9.1977137e-10,EKSUTH
2020-01-01 00:00:00,16,2020-01-01 00:00:00,1.67e-07,2020-01-01 00:00:00,1.17115828e-09,EKSUTH
2020-02-01 00:00:00,33,2020-02-01 00:00:00,1.54e-07,2020-02-01 00:00:00,1.06184472e-09,EKSUTH
2020-03-01 00:00:00,3,2020-03-01 00:00:00,6.05e-08,2020-03-01 00:00:00,4.77944073e-10,EKSUTH
2020-04-01 00:00:00,3,2020-04-01 00:00:00,4.61e-08,2020-04-01 00:00:00,3.37474493e-10,EKSUTH
2020-05-01 00:00:00,3,2020-05-01 00:00:00,2.96e-08,2020-05-01 00:00:00,3.11948745e-10,EKSUTH
2020-06-01 00:00:00,4,2020-06-01 00:00:00,1.96e-08,2020-06-01 00:00:00,2.73586265e-10,EKSUTH
2020-07-01 00:00:00,1,2020-07-01 00:00:00,1.14e-08,2020-07-01 00:00:00,1.89966196e-10,EKSUTH
2020-08-01 00:00:00,8,2020-08-01 00:00:00,1.03e-08,2020-08-01 00:00:00,1.72578646e-10,EKSUTH
2020-09-01 00:00:00,1,2020-09-01 00:00:00,1.35e-08,2020-09-01 00:00:00,2.19884916e-10,EKSUTH
2020-10-01 00:00:00,0,2020-10-01 00:00:00,2.91e-08,2020-10-01 00:00:00,3.49907492e-10,EKSUTH
2020-11-01 00:00:00,28,2020-11-01 00:00:00,6.15e-08,2020-11-01 00:00:00,6.80130563e-10,EKSUTH
2020-12-01 00:00:00,40,2020-12-01 00:00:00,6.58e-08,2020-12-01 00:00:00,6.67983113e-10,EKSUTH
2021-01-01 00:00:00,28,2021-01-01 00:00:00,9.18e-08,2021-01-01 00:00:00,8.15594314e-10,EKSUTH
2021-02-01 00:00:00,11,2021-02-01 00:00:00,1.43e-07,2021-02-01 00:00:00,6.43239406e-10,EKSUTH
2021-03-01 00:00:00,16,2021-03-01 00:00:00,8.68e-08,2021-03-01 00:00:00,4.71467143e-10,EKSUTH
2021-04-01 00:00:00,3,2021-04-01 00:00:00,5.14e-08,2021-04-01 00:00:00,4.0220044e-10,EKSUTH
2021-05-01 00:00:00,2,2021-05-01 00:00:00,2.42e-08,2021-05-01 00:00:00,3.42062906e-10,EKSUTH
2021-06-01 00:00:00,3,2021-06-01 00:00:00,2.19e-08,2021-06-01 00:00:00,4.19394408e-10,EKSUTH
2021-07-01 00:00:00,3,2021-07-01 00:00:00,1.74e-08,2021-07-01 00:00:00,2.55288957e-10,EKSUTH
2021-08-01 00:00:00,7,2021-08-01 00:00:00,1.16e-08,2021-08-01 00:00:00,2.49339299e-10,EKSUTH
2021-09-01 00:00:00,6,2021-09-01 00:00:00,2.02e-08,2021-09-01 00:00:00,3.37394696e-10,EKSUTH
2021-10-01 00:00:00,13,2021-10-01 00:00:00,2.77e-08,2021-10-01 00:00:00,3.82336357e-10,EKSUTH
2021-11-01 00:00:00,31,2021-11-01 00:00:00,3.62e-08,2021-11-01 00:00:00,5.05521069e-10,EKSUTH
2021-12-01 00:00:00,32,2021-12-01 00:00:00,1.33e-07,2021-12-01 00:00:00,8.75068629e-10,EKSUTH
2022-01-01 00:00:00,21,2022-01-01 00:00:00,1.25e-07,2022-01-01 00:00:00,1.18373422e-09,EKSUTH
2022-02-01 00:00:00,14,2022-02-01 00:00:00,1.4e-07,2022-02-01 00:00:00,8.87591889e-10,EKSUTH
2022-03-01 00:00:00,6,2022-03-01 00:00:00,9.17e-08,2022-03-01 00:00:00,4.7466181e-10,EKSUTH
2022-04-01 00:00:00,2,2022-04-01 00:00:00,4.12e-08,2022-04-01 00:00:00,3.91280508e-10,EKSUTH
2022-05-01 00:00:00,2,2022-05-01 00:00:00,3.55e-08,2022-05-01 00:00:00,3.43653273e-10,EKSUTH
2022-06-01 00:00:00,2,2022-06-01 00:00:00,2.27e-08,2022-06-01 00:00:00,3.55213498e-10,EKSUTH
2022-07-01 00:00:00,4,2022-07-01 00:00:00,1.62e-08,2022-07-01 00:00:00,2.47435017e-10,EKSUTH
2022-08-01 00:00:00,1,2022-08-01 00:00:00,1.12e-08,2022-08-01 00:00:00,1.76665904e-10,EKSUTH
2022-09-01 00:00:00,0,2022-09-01 00:00:00,1.2e-08,2022-09-01 00:00:00,2.34148423e-10,EKSUTH
2022-10-01 00:00:00,1,2022-10-01 00:00:00,4.12e-08,2022-10-01 00:00:00,4.91332419e-10,EKSUTH
2022-11-01 00:00:00,32,2022-11-01 00:00:00,5.37e-08,2022-11-01 00:00:00,7.41867012e-10,EKSUTH
2022-12-01 00:00:00,31,2022-12-01 00:00:00,7.46e-08,2022-12-01 00:00:00,9.15654164e-10,EKSUTH
