DATE,TOTAL,TIME,MEAN,SO2 TIME,MEAN,Location
2018-01-01 00:00:00,36,2018-01-01 00:00:00,1.61355013e-07,2018-01-01 00:00:00,1.04751563e-09,FMC IDO
2018-02-01 00:00:00,29,2018-02-01 00:00:00,8.59740554e-08,2018-02-01 00:00:00,5.68374126e-10,FMC IDO
2018-03-01 00:00:00,21,2018-03-01 00:00:00,5.73167151e-08,2018-03-01 00:00:00,4.10485035e-10,FMC IDO
2018-04-01 00:00:00,3,2018-04-01 00:00:00,5.87290111e-08,2018-04-01 00:00:00,3.41026624e-10,FMC IDO
2018-05-01 00:00:00,3,2018-05-01 00:00:00,3.14726767e-08,2018-05-01 00:00:00,3.36767475e-10,FMC IDO
2018-06-01 00:00:00,1,2018-06-01 00:00:00,2.36456666e-08,2018-06-01 00:00:00,3.00094893e-10,FMC IDO
2018-07-01 00:00:00,1,2018-07-01 00:00:00,1.6380768e-08,2018-07-01 00:00:00,2.44898407e-10,FMC IDO
2018-08-01 00:00:00,2,2018-08-01 00:00:00,1.18824943e-08,2018-08-01 00:00:00,2.11953025e-10,FMC IDO
2018-09-01 00:00:00,5,2018-09-01 00:00:00,1.79121706e-08,2018-09-01 00:00:00,2.58101485e-10,FMC IDO
2018-10-01 00:00:00,33,2018-10-01 00:00:00,3.08475984e-08,2018-10-01 00:00:00,3.79237031e-10,FMC IDO
2018-11-01 00:00:00,41,2018-11-01 00:00:00,4.27922021e-08,2018-11-01 00:00:00,6.94149127e-10,FMC IDO
2018-12-01 00:00:00,35,2018-12-01 00:00:00,1.38579241e-07,2018-12-01 00:00:00,8.98304375e-10,FMC IDO
2019-01-01 00:00:00,36,2019-01-01 00:00:00,9.05564771e-08,2019-01-01 00:00:00,7.88908106e-10,FMC IDO
2019-02-01 00:00:00,16,2019-02-01 00:00:00,1.03253791e-07,2019-02-01 00:00:00,7.56715468e-10,FMC IDO
2019-03-01 00:00:00,24,2019-03-01 00:00:00,5.95614451e-08,2019-03-01 00:00:00,5.3542748e-10,FMC IDO
2019-04-01 00:00:00,11,2019-04-01 00:00:00,4.86594628e-08,2019-04-01 00:00:00,3.99718258e-10,FMC IDO
2019-05-01 00:00:00,4,2019-05-01 00:00:00,2.79067753e-08,2019-05-01 00:00:00,3.49942464e-10,FMC IDO
2019-06-01 00:00:00,3,2019-06-01 00:00:00,1.81379809e-08,2019-06-01 00:00:00,2.56324267e-10,FMC IDO
2019-07-01 00:00:00,8,2019-07-01 00:00:00,1.50912445e-08,2019-07-01 00:00:00,2.44192638e-10,FMC IDO
2019-08-01 00:00:00,8,2019-08-01 00:00:00,1.12251008e-08,2019-08-01 00:00:00,2.29188585e-10,FMC IDO
2019-09-01 00:00:00,0,2019-09-01 00:00:00,2.2821289e-08,2019-09-01 00:00:00,2.75746759e-10,FMC IDO
2019-10-01 00:00:00,14,2019-10-01 00:00:00,2.14696804e-08,2019-10-01 00:00:00,2.65673428e-10,FMC IDO
2019-11-01 00:00:00,34,2019-11-01 00:00:00,3.38379719e-08,2019-11-01 00:00:00,6.61776967e-10,FMC IDO
2019-12-01 00:00:00,34,2019-12-01 00:00:00,6.86777076e-08,2019-12-01 00:00:00,8.42532655e-10,FMC IDO
2020-01-01 00:00:00,28,2020-01-01 00:00:00,1.69993345e-07,2020-01-01 00:00:00,9.52976253e-10,FMC IDO
2020-02-01 00:00:00,23,2020-02-01 00:00:00,1.56102993e-07,2020-02-01 00:00:00,9.680583e-10,FMC IDO
2020-03-01 00:00:00,7,2020-03-01 00:00:00,6.57673814e-08,2020-03-01 00:00:00,5.13419141e-10,FMC IDO
2020-04-01 00:00:00,4,2020-04-01 00:00:00,5.04085434e-08,2020-04-01 00:00:00,3.43091361e-10,FMC IDO
2020-05-01 00:00:00,9,2020-05-01 00:00:00,3.40304797e-08,2020-05-01 00:00:00,3.22332244e-10,FMC IDO
2020-06-01 00:00:00,3,2020-06-01 00:00:00,2.27333389e-08,2020-06-01 00:00:00,2.63011724e-10,FMC IDO
2020-07-01 00:00:00,2,2020-07-01 00:00:00,1.28509877e-08,2020-07-01 00:00:00,1.8167802e-10,FMC IDO
2020-08-01 00:00:00,4,2020-08-01 00:00:00,1.14199112e-08,2020-08-01 00:00:00,1.81717252e-10,FMC IDO
2020-09-01 00:00:00,5,2020-09-01 00:00:00,1.56674883e-08,2020-09-01 00:00:00,2.25259533e-10,FMC IDO
2020-10-01 00:00:00,9,2020-10-01 00:00:00,3.25123006e-08,2020-10-01 00:00:00,4.10662004e-10,FMC IDO
2020-11-01 00:00:00,40,2020-11-01 00:00:00,6.79358313e-08,2020-11-01 00:00:00,6.59362676e-10,FMC IDO
2020-12-01 00:00:00,47,2020-12-01 00:00:00,6.62579672e-08,2020-12-01 00:00:00,6.79626133e-10,FMC IDO
2021-01-01 00:00:00,28,2021-01-01 00:00:00,9.66729179e-08,2021-01-01 00:00:00,8.47481196e-10,FMC IDO
2021-02-01 00:00:00,21,2021-02-01 00:00:00,1.43533474e-07,2021-02-01 00:00:00,6.4126271e-10,FMC IDO
2021-03-01 00:00:00,19,2021-03-01 00:00:00,9.55963334e-08,2021-03-01 00:00:00,4.58553667e-10,FMC IDO
2021-04-01 00:00:00,3,2021-04-01 00:00:00,5.46693621e-08,2021-04-01 00:00:00,4.25667918e-10,FMC IDO
2021-05-01 00:00:00,2,2021-05-01 00:00:00,2.70633553e-08,2021-05-01 00:00:00,3.37842032e-10,FMC IDO
2021-06-01 00:00:00,5,2021-06-01 00:00:00,2.43761797e-08,2021-06-01 00:00:00,4.15162432e-10,FMC IDO
2021-07-01 00:00:00,2,2021-07-01 00:00:00,1.89987305e-08,2021-07-01 00:00:00,2.56279498e-10,FMC IDO
2021-08-01 00:00:00,1,2021-08-01 00:00:00,1.2902859e-08,2021-08-01 00:00:00,2.30897926e-10,FMC IDO
2021-09-01 00:00:00,4,2021-09-01 00:00:00,2.3086958e-08,2021-09-01 00:00:00,3.3947789e-10,FMC IDO
