DATE,TOTAL,TIME,MEAN,SO2 TIME,MEAN,Location
2018-01-01 00:00:00,9,2018-01-01 00:00:00,1.61680176e-07,2018-01-01 00:00:00,1.19269417e-09,"GENERAL HOSPITAL, IKERE -EKITI"
2018-02-01 00:00:00,12,2018-02-01 00:00:00,8.26049696e-08,2018-02-01 00:00:00,5.77518255e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2018-03-01 00:00:00,9,2018-03-01 00:00:00,5.15410611e-08,2018-03-01 00:00:00,4.20163349e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2018-04-01 00:00:00,2,2018-04-01 00:00:00,5.45453688e-08,2018-04-01 00:00:00,3.10734327e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2018-05-01 00:00:00,9,2018-05-01 00:00:00,2.78506967e-08,2018-05-01 00:00:00,3.16420529e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2018-06-01 00:00:00,5,2018-06-01 00:00:00,2.06731444e-08,2018-06-01 00:00:00,3.01960845e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2018-07-01 00:00:00,7,2018-07-01 00:00:00,1.4433399e-08,2018-07-01 00:00:00,2.50263005e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2018-08-01 00:00:00,13,2018-08-01 00:00:00,1.00977091e-08,2018-08-01 00:00:00,2.08433173e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2018-09-01 00:00:00,3,2018-09-01 00:00:00,1.4949343e-08,2018-09-01 00:00:00,2.47489668e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2018-10-01 00:00:00,17,2018-10-01 00:00:00,2.66437136e-08,2018-10-01 00:00:00,3.74728554e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2018-11-01 00:00:00,24,2018-11-01 00:00:00,4.2237292e-08,2018-11-01 00:00:00,7.25815463e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2018-12-01 00:00:00,37,2018-12-01 00:00:00,1.34906335e-07,2018-12-01 00:00:00,1.06785947e-09,"GENERAL HOSPITAL, IKERE -EKITI"
2019-01-01 00:00:00,11,2019-01-01 00:00:00,8.80164325e-08,2019-01-01 00:00:00,8.00668698e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2019-02-01 00:00:00,15,2019-02-01 00:00:00,1.01658351e-07,2019-02-01 00:00:00,8.5839591e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2019-03-01 00:00:00,14,2019-03-01 00:00:00,5.55682514e-08,2019-03-01 00:00:00,5.37800249e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2019-04-01 00:00:00,15,2019-04-01 00:00:00,4.36338896e-08,2019-04-01 00:00:00,3.81634141e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2019-05-01 00:00:00,4,2019-05-01 00:00:00,2.53620374e-08,2019-05-01 00:00:00,3.37005812e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2019-06-01 00:00:00,5,2019-06-01 00:00:00,1.61142121e-08,2019-06-01 00:00:00,2.61851457e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2019-07-01 00:00:00,2,2019-07-01 00:00:00,1.31156442e-08,2019-07-01 00:00:00,2.41488635e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2019-08-01 00:00:00,3,2019-08-01 00:00:00,9.57207331e-09,2019-08-01 00:00:00,2.16154011e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2019-09-01 00:00:00,3,2019-09-01 00:00:00,1.8680536e-08,2019-09-01 00:00:00,2.69660849e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2019-10-01 00:00:00,5,2019-10-01 00:00:00,1.85109857e-08,2019-10-01 00:00:00,2.63720878e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2019-11-01 00:00:00,14,2019-11-01 00:00:00,3.40312317e-08,2019-11-01 00:00:00,6.38884612e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2019-12-01 00:00:00,17,2019-12-01 00:00:00,6.55532141e-08,2019-12-01 00:00:00,9.1977137e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2020-01-01 00:00:00,16,2020-01-01 00:00:00,1.67077488e-07,2020-01-01 00:00:00,1.17115828e-09,"GENERAL HOSPITAL, IKERE -EKITI"
2020-02-01 00:00:00,12,2020-02-01 00:00:00,1.53799385e-07,2020-02-01 00:00:00,1.06184472e-09,"GENERAL HOSPITAL, IKERE -EKITI"
2020-03-01 00:00:00,13,2020-03-01 00:00:00,6.04906276e-08,2020-03-01 00:00:00,4.77944073e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2020-04-01 00:00:00,7,2020-04-01 00:00:00,4.61113001e-08,2020-04-01 00:00:00,3.37474493e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2020-05-01 00:00:00,2,2020-05-01 00:00:00,2.95724061e-08,2020-05-01 00:00:00,3.11948745e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2020-06-01 00:00:00,3,2020-06-01 00:00:00,1.95654079e-08,2020-06-01 00:00:00,2.73586265e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2020-07-01 00:00:00,2,2020-07-01 00:00:00,1.14444191e-08,2020-07-01 00:00:00,1.89966196e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2020-08-01 00:00:00,5,2020-08-01 00:00:00,1.03360618e-08,2020-08-01 00:00:00,1.72578646e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2020-09-01 00:00:00,8,2020-09-01 00:00:00,1.35499369e-08,2020-09-01 00:00:00,2.19884916e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2020-10-01 00:00:00,7,2020-10-01 00:00:00,2.91190432e-08,2020-10-01 00:00:00,3.49907492e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2020-11-01 00:00:00,7,2020-11-01 00:00:00,6.14840907e-08,2020-11-01 00:00:00,6.80130563e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2020-12-01 00:00:00,8,2020-12-01 00:00:00,6.58498946e-08,2020-12-01 00:00:00,6.67983113e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2021-01-01 00:00:00,9,2021-01-01 00:00:00,9.1823012e-08,2021-01-01 00:00:00,8.15594314e-10,"GENERAL HOSPITAL, IKERE -EKITI"
2021-02-01 00:00:00,12,2021-02-01 00:00:00,1.42590271e-07,2021-02-01 00:00:00,6.43239406e-10,"GENERAL HOSPITAL, IKERE -EKITI"
