DATE,TOTAL,TIME,PM2.5,SO2_TIME,Location,YEAR,SO2
2018-01-01,36,2018-01-01 00:00:00,1.62e-07,2018-01-01 00:00:00,STATION 1 EKSUTH ADO,2018,
2018-02-01,36,2018-02-01 00:00:00,8.26e-08,2018-02-01 00:00:00,STATION 1 EKSUTH ADO,2018,
2018-03-01,30,2018-03-01 00:00:00,5.15e-08,2018-03-01 00:00:00,STATION 1 EKSUTH ADO,2018,
2018-04-01,19,2018-04-01 00:00:00,5.45e-08,2018-04-01 00:00:00,STATION 1 EKSUTH ADO,2018,
2018-05-01,2,2018-05-01 00:00:00,2.79e-08,2018-05-01 00:00:00,STATION 1 EKSUTH ADO,2018,
2018-06-01,2,2018-06-01 00:00:00,2.07e-08,2018-06-01 00:00:00,STATION 1 EKSUTH ADO,2018,
2018-07-01,2,2018-07-01 00:00:00,1.44e-08,2018-07-01 00:00:00,STATION 1 EKSUTH ADO,2018,
2018-08-01,2,2018-08-01 00:00:00,1.01e-08,2018-08-01 00:00:00,STATION 1 EKSUTH ADO,2018,
2018-09-01,1,2018-09-01 00:00:00,1.49e-08,2018-09-01 00:00:00,STATION 1 EKSUTH ADO,2018,
2018-10-01,2,2018-10-01 00:00:00,2.66e-08,2018-10-01 00:00:00,STATION 1 EKSUTH ADO,2018,
2018-11-01,9,2018-11-01 00:00:00,4.22e-08,2018-11-01 00:00:00,STATION 1 EKSUTH ADO,2018,
2018-12-01,37,2018-12-01 00:00:00,1.35e-07,2018-12-01 00:00:00,STATION 1 EKSUTH ADO,2018,
2019-01-01,19,2019-01-01 00:00:00,8.8e-08,2019-01-01 00:00:00,STATION 1 EKSUTH ADO,2019,
2019-02-01,21,2019-02-01 00:00:00,1.02e-07,2019-02-01 00:00:00,STATION 1 EKSUTH ADO,2019,
2019-03-01,5,2019-03-01 00:00:00,5.56e-08,2019-03-01 00:00:00,STATION 1 EKSUTH ADO,2019,
2019-04-01,5,2019-04-01 00:00:00,4.36e-08,2019-04-01 00:00:00,STATION 1 EKSUTH ADO,2019,
